id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6508,Lewis,Cass County,IA,Iowa,51544,City,41.30582,-95.08332,712,407,197,41125,1295385,0,America/Chicago
6509,Libertyville,Jefferson County,IA,Iowa,52567,City,40.95752,-92.05129,641,343,142,55357,1262618,0,America/Chicago
6510,Lidderdale,Carroll County,IA,Iowa,51401 / 51443 / 51452,City,42.12443,-94.78304,712,175,71,44306,6255311,0,America/Chicago
6511,Lime Springs,Howard County,IA,Iowa,52155,City,43.44886,-92.28073,563,485,186,48056,2637057,0,America/Chicago
6512,Lincoln,Tama County,IA,Iowa,50635 / 50652,City,42.26276,-92.69187,641,155,64,28333,1189602,0,America/Chicago
6513,Linden,Dallas County,IA,Iowa,50146,City,41.64443,-94.26913,641,207,76,35000,2026745,0,America/Chicago
6514,Lineville,Wayne County,IA,Iowa,50147,City,40.58140,-93.52383,641,221,100,35833,2320405,0,America/Chicago
6515,Linn Grove,Buena Vista County,IA,Iowa,51033,City,42.89164,-95.24666,712,154,79,39375,1445854,66340,America/Chicago
6516,Lisbon,Linn County,IA,Iowa,52253 / 52314,City,41.92112,-91.38545,319,2208,783,49135,5547618,0,America/Chicago
6517,Liscomb,Marshall County,IA,Iowa,50148,City,42.18999,-93.00381,641,301,119,54375,2546144,0,America/Chicago
6518,Little Cedar,Mitchell County,IA,Iowa,50454,CDP,43.38025,-92.72574,641,49,27,28438,4583683,0,America/Chicago
6519,Little Rock,Lyon County,IA,Iowa,51243,City,43.44414,-95.88335,712,439,210,51719,2079212,0,America/Chicago
6520,Little Sioux,Harrison County,IA,Iowa,51545,City,41.80943,-96.02112,712,163,62,32500,961699,0,America/Chicago
6521,Livermore,Humboldt County,IA,Iowa,50558,City,42.86858,-94.18524,515,359,178,54500,1813318,0,America/Chicago
6522,Lockridge,Jefferson County,IA,Iowa,52635,City,40.99475,-91.74822,319,292,122,37500,1939695,0,America/Chicago
6523,Logan,Harrison County,IA,Iowa,51546,City,41.64305,-95.78890,712,1454,619,58125,2598410,0,America/Chicago
6524,Lohrville,Calhoun County,IA,Iowa,51453,City,42.27026,-94.54859,712,351,153,46375,5551013,0,America/Chicago
6525,Lone Rock,Kossuth County,IA,Iowa,50559,City,43.21857,-94.32691,515,141,71,45313,305965,0,America/Chicago
