id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6880,Sumner,Bremer County / Fayette County,IA,Iowa,50674,City,42.84937,-92.09715,563,1998,893,51298,6524265,34944,America/Chicago
6881,Sun Valley Lake,Ringgold County,IA,Iowa,50074,CDP,40.84911,-94.06813,641,181,120,93281,6264503,1694185,America/Chicago
6882,Superior,Dickinson County,IA,Iowa,51363,City,43.43024,-94.94638,712,128,62,48750,1050224,0,America/Chicago
6883,Sutherland,O'Brien County,IA,Iowa,51058,City,42.97414,-95.49751,712,616,281,44896,2256464,0,America/Chicago
6884,Swaledale,Cerro Gordo County,IA,Iowa,50477,City,42.97858,-93.31687,641,160,76,38077,633910,0,America/Chicago
6885,Swan,Marion County,IA,Iowa,50252,City,41.46527,-93.31132,515,72,34,23750,1666158,0,America/Chicago
6886,Swea City,Kossuth County,IA,Iowa,50590,City,43.38440,-94.31497,515,516,240,31522,1906738,0,America/Chicago
6887,Swisher,Johnson County,IA,Iowa,52338,City,41.84556,-91.69295,319,924,332,74615,2088679,0,America/Chicago
6888,Tabor,Fremont County / Mills County,IA,Iowa,51653,City,40.89494,-95.67371,712,986,415,57083,3335069,0,America/Chicago
6889,Tama,Tama County,IA,Iowa,52339,City,41.96666,-92.57686,641,2831,1084,51741,8440177,383923,America/Chicago
6890,Templeton,Carroll County,IA,Iowa,51463,City,41.91832,-94.94277,712,349,149,49375,1106765,0,America/Chicago
6891,Tennant,Shelby County,IA,Iowa,51537 / 51570,City,41.59360,-95.44111,712,66,28,36667,1841699,0,America/Chicago
6892,Terril,Dickinson County,IA,Iowa,51364,City,43.30579,-94.97166,712,362,194,35625,1412923,0,America/Chicago
6893,Thayer,Union County,IA,Iowa,50254,City,41.02805,-94.05078,641,56,24,43750,239726,0,America/Chicago
6894,Thompson,Winnebago County,IA,Iowa,50478,City,43.37134,-93.77356,641,488,229,41953,2272042,0,America/Chicago
6895,Thor,Humboldt County,IA,Iowa,50591,City,42.68803,-94.04940,515,179,74,48000,2584007,0,America/Chicago
6896,Thornburg,Keokuk County,IA,Iowa,50255,City,41.45473,-92.33574,641,61,40,48750,509586,0,America/Chicago
6897,Thornton,Cerro Gordo County,IA,Iowa,50479,City,42.94469,-93.38465,641,406,220,39423,3228769,0,America/Chicago
6898,Thurman,Fremont County,IA,Iowa,51654,City,40.82000,-95.74778,712,215,73,49063,1440574,0,America/Chicago
6899,Tiffin,Johnson County,IA,Iowa,52240 / 52322 / 52340,City,41.70585,-91.66295,319,3006,1022,57125,10644023,20868,America/Chicago
6900,Tingley,Ringgold County,IA,Iowa,50863,City,40.85277,-94.19523,641,183,77,40625,1750542,5413,America/Chicago
6901,Tipton,Cedar County,IA,Iowa,52772,City,41.76974,-91.12794,563,3217,1355,50734,5415222,0,America/Chicago
6902,Titonka,Kossuth County,IA,Iowa,50480,City,43.23691,-94.04134,515,448,234,35769,726107,0,America/Chicago
6903,Toeterville,Mitchell County,IA,Iowa,50472 / 50481,CDP,43.44219,-92.89047,641,36,33,25139,2312831,0,America/Chicago
6904,Toledo,Tama County,IA,Iowa,52342,City,41.99555,-92.57686,641,2187,810,46406,5955274,0,America/Chicago
6905,Toronto,Clinton County,IA,Iowa,52777,City,41.90502,-90.86403,563,119,60,45000,482622,0,America/Chicago
6906,Traer,Tama County,IA,Iowa,50675,City,42.19360,-92.46547,319,1657,722,53676,3064287,0,America/Chicago
6907,Treynor,Pottawattamie County,IA,Iowa,51575,City,41.23250,-95.61306,712,950,372,70000,1501129,0,America/Chicago
6908,Tripoli,Bremer County,IA,Iowa,50676,City,42.80804,-92.25823,319,1340,525,47313,3650129,0,America/Chicago
6909,Truesdale,Buena Vista County,IA,Iowa,50588 / 50592,City,42.72915,-95.18277,712,81,56,40000,377840,0,America/Chicago
6910,Truro,Madison County,IA,Iowa,50257,City,41.20972,-93.84661,641,487,186,50789,2523886,0,America/Chicago
6911,Turin,Monona County,IA,Iowa,51040,City,42.01943,-95.96640,712,65,43,41250,230264,0,America/Chicago
6912,Twin Lakes,Calhoun County,IA,Iowa,50563 / 50579,CDP,42.48470,-94.63589,712,288,136,121875,3554578,3891269,America/Chicago
6913,Udell,Appanoose County,IA,Iowa,52593,City,40.78085,-92.74214,641,46,19,28125,825068,0,America/Chicago
6914,Underwood,Pottawattamie County,IA,Iowa,51576,City,41.38694,-95.67667,712,939,298,74600,2842033,65068,America/Chicago
6915,Union,Hardin County,IA,Iowa,50258,City,42.24554,-93.06465,641,384,193,41705,1423361,0,America/Chicago
6916,Unionville,Appanoose County,IA,Iowa,52594,City,40.81835,-92.69547,641,100,39,40625,1929361,0,America/Chicago
6917,University Heights,Johnson County,IA,Iowa,52246,City,41.65502,-91.55684,319,1089,553,52386,702265,0,America/Chicago
6918,University Park,Mahaska County,IA,Iowa,52577 / 52595,City,41.28695,-92.61853,641,474,199,46719,2002007,0,America/Chicago
6919,Urbana,Benton County,IA,Iowa,52213 / 52345,City,42.22416,-91.87434,319,1469,524,74286,5715255,565,America/Chicago
6920,Urbandale,Dallas County / Polk County,IA,Iowa,50111 / 50131 / 50263 / 50322 / 50323 / 50325,City,41.63679,-93.77983,515,43018,16720,78059,58164701,59113,America/Chicago
6921,Ute,Monona County,IA,Iowa,51060,City,42.05027,-95.70639,712,349,198,35500,1020456,0,America/Chicago
6922,Vail,Crawford County,IA,Iowa,51465,City,42.06193,-95.19999,712,416,197,43359,1478914,0,America/Chicago
6923,Valeria,Jasper County,IA,Iowa,50054,City,41.72999,-93.32521,515,57,17,53750,129337,0,America/Chicago
6924,Van Horne,Benton County,IA,Iowa,52346,City,42.00861,-92.09102,319,662,284,50000,1780836,0,America/Chicago
6925,Van Meter,Dallas County,IA,Iowa,50038 / 50261,City,41.53193,-93.95412,515,1119,490,83889,5165152,55049,America/Chicago
6926,Van Wert,Decatur County,IA,Iowa,50262,City,40.86972,-93.79300,641,213,78,28000,855418,12230,America/Chicago
6927,Varina,Pocahontas County,IA,Iowa,50540 / 50593,City,42.65803,-94.89776,712,68,28,30833,701175,0,America/Chicago
6928,Ventura,Cerro Gordo County,IA,Iowa,50428 / 50482,City,43.12635,-93.47771,641,720,355,67422,4595586,1712714,America/Chicago
6929,Victor,Iowa County / Poweshiek County,IA,Iowa,52347,City,41.73074,-92.29474,319,881,477,43542,1255187,0,America/Chicago
6930,Villisca,Montgomery County,IA,Iowa,50864,City,40.92971,-94.97609,712,1182,555,32042,4929899,0,America/Chicago
6931,Vincent,Webster County,IA,Iowa,50594,City,42.59191,-94.02023,515,168,64,51250,659352,0,America/Chicago
6932,Vining,Tama County,IA,Iowa,52348,City,41.98999,-92.37991,641,49,30,61667,1485921,0,America/Chicago
6933,Vinton,Benton County,IA,Iowa,52349,City,42.16861,-92.02351,319,5143,2217,48930,12267986,227413,America/Chicago
6934,Volga,Clayton County,IA,Iowa,52077,City,42.80471,-91.54098,563,201,90,34333,2027420,0,America/Chicago
6935,Wadena,Fayette County,IA,Iowa,52169,City,42.84276,-91.65682,563,250,119,40139,1913455,0,America/Chicago
6936,Wahpeton,Dickinson County,IA,Iowa,51351 / 51360,City,43.36608,-95.17194,712,353,178,64643,3134473,66522,America/Chicago
6937,Walcott,Muscatine County / Scott County,IA,Iowa,52773,City,41.58732,-90.78052,563,1636,690,49583,8067470,62620,America/Chicago
6938,Walford,Benton County / Linn County,IA,Iowa,52228 / 52351,City,41.87966,-91.83052,319,1459,511,92284,2507812,0,America/Chicago
6939,Walker,Linn County,IA,Iowa,52352,City,42.28666,-91.78073,319,786,300,63750,1960673,25984,America/Chicago
6940,Wallingford,Emmet County,IA,Iowa,51365,City,43.31968,-94.79276,712,186,52,53750,2519344,0,America/Chicago
6941,Wall Lake,Sac County,IA,Iowa,51466,City,42.27110,-95.09305,712,781,271,48646,3190174,0,America/Chicago
6942,Walnut,Pottawattamie County,IA,Iowa,51577,City,41.47749,-95.22194,712,779,324,42308,5576495,0,America/Chicago
6943,Wapello,Louisa County,IA,Iowa,52653,City,41.18142,-91.18543,319,2042,799,44112,3352626,124379,America/Chicago
6944,Washburn,Black Hawk County,IA,Iowa,50702,CDP,42.41166,-92.26741,319,957,421,49669,3201939,27902,America/Chicago
6945,Washington,Washington County,IA,Iowa,52353,City,41.29918,-91.69294,319,7424,3221,45013,13581359,6154,America/Chicago
6946,Washta,Cherokee County,IA,Iowa,51061,City,42.57554,-95.71751,712,237,93,34583,2602408,0,America/Chicago
6947,Waterloo,Black Hawk County,IA,Iowa,50613 / 50701 / 50702 / 50703 / 50704 / 50706 / 50707,City,42.49276,-92.34296,319,67934,28430,41933,159034208,4720453,America/Chicago
6948,Waterville,Allamakee County,IA,Iowa,52170,City,43.20776,-91.29763,563,141,60,42500,1112299,0,America/Chicago
6949,Watkins,Benton County,IA,Iowa,52354,CDP,41.89111,-91.98629,319,123,39,31797,1072248,0,America/Chicago
6950,Waucoma,Fayette County,IA,Iowa,52171,City,43.05609,-92.03323,563,255,125,37639,1219559,0,America/Chicago
6951,Waukee,Dallas County,IA,Iowa,50003 / 50263 / 50325,City,41.61166,-93.88523,515,19284,5983,77200,34139629,37645,America/Chicago
6952,Waukon,Allamakee County,IA,Iowa,52172,City,43.26942,-91.47570,563,3733,1753,39417,7704928,0,America/Chicago
6953,Waverly,Bremer County,IA,Iowa,50677,City,42.72581,-92.47546,319,10093,3496,61506,29176174,1291706,America/Chicago
6954,Wayland,Henry County,IA,Iowa,52654,City,41.14724,-91.66072,319,952,432,51563,2883318,0,America/Chicago
6955,Webb,Clay County,IA,Iowa,51366,City,42.94858,-95.01193,712,136,69,41750,1303512,0,America/Chicago
6956,Webster,Keokuk County,IA,Iowa,52355,City,41.43834,-92.16907,319,72,47,41250,837004,0,America/Chicago
6957,Webster City,Hamilton County,IA,Iowa,50595,City,42.46942,-93.81605,515,7756,3395,42011,22958111,38463,America/Chicago
6958,Weldon,Decatur County,IA,Iowa,50264,City,40.89750,-93.73494,641,118,76,31250,469807,0,America/Chicago
6959,Wellman,Washington County,IA,Iowa,52356,City,41.46418,-91.83823,319,1424,558,56983,2749292,0,America/Chicago
6960,Wellsburg,Grundy County,IA,Iowa,50680,City,42.45915,-92.93853,641,691,371,47019,2828021,0,America/Chicago
6961,Welton,Clinton County,IA,Iowa,52037 / 52774,City,41.90808,-90.59541,563,159,47,68750,710888,0,America/Chicago
6962,Wesley,Kossuth County,IA,Iowa,50483,City,43.08830,-93.99023,515,378,155,46750,1614545,0,America/Chicago
6963,West Amana,Iowa County,IA,Iowa,52203,CDP,41.80806,-91.96379,319,222,92,44143,705067,0,America/Chicago
6964,West Bend,Kossuth County / Palo Alto County,IA,Iowa,50597,City,42.95994,-94.44568,515,755,413,44766,2292793,0,America/Chicago
6965,West Branch,Cedar County / Johnson County,IA,Iowa,52358,City,41.66276,-91.34064,319,2359,1091,60650,8261574,0,America/Chicago
6966,West Burlington,Des Moines County,IA,Iowa,52601 / 52655,City,40.82504,-91.15654,319,2945,1398,38314,12895533,0,America/Chicago
6967,West Chester,Washington County,IA,Iowa,52359,City,41.33890,-91.81767,319,148,56,31429,655956,0,America/Chicago
6968,West Des Moines,Dallas County / Madison County / Polk County / Warren County,IA,Iowa,50038 / 50061 / 50261 / 50263 / 50265 / 50266 / 50321 / 50325 / 50398,City,41.54994,-93.78135,515,64560,25884,71200,120659778,2534589,America/Chicago
6969,Westfield,Plymouth County,IA,Iowa,51062,City,42.75555,-96.60587,712,131,62,40417,331198,0,America/Chicago
6970,Westgate,Fayette County,IA,Iowa,50681,City,42.76998,-91.99628,563,202,83,52361,920051,0,America/Chicago
6971,West Liberty,Muscatine County,IA,Iowa,52776,City,41.57002,-91.26377,319,3721,1137,54408,4478524,525,America/Chicago
6972,West Okoboji,Dickinson County,IA,Iowa,51331 / 51351,City,43.35330,-95.16250,712,295,160,50833,3313645,317159,America/Chicago
6973,Weston,Pottawattamie County,IA,Iowa,51576,CDP,41.34083,-95.74112,712,237,41,99423,1060550,0,America/Chicago
6974,Westphalia,Shelby County,IA,Iowa,51578,City,41.71971,-95.39472,712,125,55,41964,247308,0,America/Chicago
6975,West Point,Lee County,IA,Iowa,52656,City,40.71670,-91.45015,319,954,489,52768,1575241,0,America/Chicago
6976,Westside,Crawford County,IA,Iowa,51467,City,42.05915,-95.09805,712,297,154,52250,3811183,0,America/Chicago
6977,West Union,Fayette County,IA,Iowa,52175,City,42.96276,-91.80822,563,2395,1150,40980,7190468,0,America/Chicago
6978,Westwood,Henry County,IA,Iowa,52641,City,40.96558,-91.62377,319,111,53,82917,394518,7051,America/Chicago
6979,What Cheer,Keokuk County,IA,Iowa,50268,City,41.40140,-92.35463,641,619,293,31518,3168721,45166,America/Chicago
6980,Wheatland,Clinton County,IA,Iowa,52777,City,41.83169,-90.83820,563,732,251,48229,1566766,0,America/Chicago
6981,Whiting,Monona County,IA,Iowa,51063,City,42.12749,-96.14946,712,744,349,38558,2598159,0,America/Chicago
6982,Whittemore,Kossuth County,IA,Iowa,50598,City,43.06191,-94.42692,515,486,234,42500,1088793,0,America/Chicago
6983,Whitten,Hardin County,IA,Iowa,50258 / 50269 / 50627,City,42.26082,-93.00548,641,149,54,39375,1397728,6498,America/Chicago
6984,Willey,Carroll County,IA,Iowa,51401,City,41.97915,-94.82221,712,100,37,69375,643172,0,America/Chicago
6985,Williams,Hamilton County,IA,Iowa,50271,City,42.48831,-93.54493,515,333,184,52000,2254857,0,America/Chicago
6986,Williamsburg,Iowa County,IA,Iowa,52361,City,41.66112,-92.00907,319,3179,1277,54367,9682649,21499,America/Chicago
6987,Williamson,Lucas County,IA,Iowa,50272,City,41.08778,-93.25493,641,153,44,40000,832499,0,America/Chicago
6988,Wilton,Cedar County / Muscatine County,IA,Iowa,52778,City,41.58911,-91.02548,563,2808,1224,51726,5269398,7155,America/Chicago
6989,Windsor Heights,Polk County,IA,Iowa,50324,City,41.59777,-93.70828,515,4983,2086,57627,3669199,0,America/Chicago
6990,Winfield,Henry County,IA,Iowa,52659,City,41.12308,-91.44127,319,1125,379,41875,2718290,0,America/Chicago
6991,Winterset,Madison County,IA,Iowa,50273,City,41.33082,-94.01384,515,5271,2135,41289,11851427,360471,America/Chicago
6992,Winthrop,Buchanan County,IA,Iowa,50644 / 50682,City,42.47332,-91.73433,319,848,367,54779,2183250,0,America/Chicago
6993,Wiota,Cass County,IA,Iowa,50274,City,41.40027,-94.88693,712,110,50,39167,821803,0,America/Chicago
6994,Woden,Hancock County,IA,Iowa,50484,City,43.23302,-93.90912,641,218,115,40417,1095168,0,America/Chicago
6995,Woodbine,Harrison County,IA,Iowa,51579,City,41.73832,-95.70278,712,1412,705,44688,3311509,130445,America/Chicago
6996,Woodburn,Clarke County,IA,Iowa,50275,City,41.01194,-93.59910,641,199,118,34605,1647838,0,America/Chicago
6997,Woodward,Boone County / Dallas County,IA,Iowa,50276,City,41.85280,-93.92077,515,1461,484,58125,9476869,0,America/Chicago
6998,Woolstock,Wright County,IA,Iowa,50599,City,42.56664,-93.84383,515,163,90,45714,2745547,0,America/Chicago
6999,Worthington,Dubuque County,IA,Iowa,52078,City,42.39639,-91.11986,563,408,176,61136,1137661,0,America/Chicago
7000,Wyoming,Jones County,IA,Iowa,52362,City,42.05918,-91.00737,563,513,220,41750,1321604,0,America/Chicago
7001,Yale,Guthrie County,IA,Iowa,50277,City,41.77665,-94.35802,641,243,138,44000,707519,0,America/Chicago
7002,Yetter,Calhoun County,IA,Iowa,51433,City,42.31609,-94.84610,712,33,13,16250,325752,0,America/Chicago
7003,Yorktown,Page County,IA,Iowa,51632 / 51656,City,40.73333,-95.15693,712,82,31,38750,704488,0,America/Chicago
7004,Zearing,Story County,IA,Iowa,50278,City,42.16110,-93.29715,641,534,237,57031,1938971,0,America/Chicago
7005,Zwingle,Dubuque County / Jackson County,IA,Iowa,52079,City,42.29717,-90.68745,563,89,53,42292,425010,0,America/Chicago
